ID|Term_EN|Term_NO
1141694001|Demonstrates knowledge of parenting (finding)|viser kunnskap om foreldreskap
161036002|Housing adequate (finding)|tilfredsstillande buforhold
370994008|Seizure free (finding)|ingen anfall
14751000202106|Adequate respiratory status (finding)|tilfredsstillende respiratorisk status
280948003|Normal sense of identity (finding)|normal identitetskjensle
1345133004|Caregiver able to cope (situation)|omsorgsgjevar i stand til meistring
497541000202101|Adequate mucus membrane (finding)|tilfredsstillande slimhinne
9501000202103|Adequate wound healing (finding)|tilfredsstillende sårtilheling
1141690005|Demonstrates knowledge of fetal development (finding)|viser kunnskap om fosterutvikling
1137685003|Normal tissue perfusion (finding)|normal vevsperfusjon
300738008|Able to participate in leisure activities (finding)|i stand til å delta i fritidsaktivitet
1149392006|No injury due to perioperative positioning (situation)|ingen perioperativ leiringsskade
830123008|Normal state of mind (finding)|normal sinnstilstand
278571000202104|Adequate level of blood glucose (finding)|tilfredsstillande blodsukkernivå
1149081002|Feeling proud (finding)|kjenner seg stolt
1149391004|Demonstrates knowledge of sexual behavior (finding)|viser kunnskap om seksuell atferd
130970002|Health seeking behavior alteration (finding)|endring i helsesøkende atferd
657881000202100|Adequate ventilation (finding)|tilfredsstillende ventilasjon
1141692002|Demonstrates knowledge of infant feeding (finding)|viser kunnskap om mating av spedbarn
1141695000|Demonstrates knowledge of patient controlled analgesia (finding)|viser kunnskap om pasientstyrt analgesi
1145305006|Able to clear airway effectively (finding)|i stand til å oppretthalda frie luftvegar
225658008|Mood stable (finding)|stabilt stemningsleie
11231000202108|Reduced duration of seizures (finding)|redusert anfallsvarighet
6281000202103|Improved food intake (finding)|betra matinntak
1141650007|Demonstrates knowledge of behavior change process (finding)|viser kunnskap om åtferdsendring
279031000202103|Adequate tactile sensation (finding)|tilfredsstillande kjenslesans
717241000|Improved sensory function (finding)|bedret sensibilitet
1148791007|Normal gastrointestinal system function (finding)|normal gastrointestinal funksjon
1149243003|Managing to control symptoms (finding)|kontrollerer symptomer
1156885001|Composition of nutrient intake consistent with requirement (finding)|næringsinntak i samsvar med behov
300199007|Able to hear (finding)|i stand til å høre
1144481009|Feeling more empowered (finding)|føler seg mer myndiggjort
10321000202109|Adequate musculoskeletal system function (finding)|tilfredsstillande muskel- og skjelettfunksjon
1149158002|Decreased caregiver stress (situation)|redusert stress hos omsorgsgiver
248234008|Mentally alert (finding)|klar og orientert
14761000202109|Adequate urinary tract function (finding)|tilfredsstillende funksjon i urinveier
285848000|Able to control anger (finding)|i stand til å kontrollera sinne
297341000202109|No cramp (situation)|ingen krampe
1137433009|Does accept health status (finding)|aksepterer helsetilstand
279051000202107|Adequate tissue perfusion (finding)|tilfredsstillende vevsperfusjon
161825005|Appetite normal (finding)|normal matlyst
1157030006|Not sedated (situation)|ikkje sedert
6291000202101|Improved cognition (finding)|betra kognisjon
17361000202103|Patient not affected by gurgling breath (finding)|pasienten er ikke plaget av surklete pust
426798008|Ready for enhanced family processes (finding)|klar for betra familieprosess
183645004|Surgical follow-up - normal (finding)|normal kirurgisk oppfølging
79365001|Decreased stress (finding)|redusert stress
72892002|Normal pregnancy (finding)|normalt svangerskap
1148972003|Able to perform health maintenance (finding)|i stand til å oppretthalda helse
